locality,property_type,bathrooms,bedrooms2,floor,furnished_status,brand_new,sqft,price
Bachupally,Builder Floor Apartment,3,3,5,Unfurnished,Resale,1500,7500000
Bachupally,Apartment,2,2,8,Unfurnished,Resale,1280,4862720
Bachupally,Builder Floor Apartment,2,2,2,Furnished,Resale,1335,5400000
Bachupally,Apartment,2,2,0,Furnished,Resale,1075,4500000
Bachupally,Apartment,2,2,1,Unfurnished,Resale,1100,3700000
Bachupally,Apartment,2,2,0,Furnished,Resale,1000,4500000
Bachupally,Apartment,2,2,0,Semi-Furnished,Resale,1000,4500000
Bachupally,Builder Floor Apartment,3,3,2,Semi-Furnished,Resale,1524,7080000
Bachupally,Apartment,2,2,4,Semi-Furnished,Resale,1030,4200000
Bachupally,Apartment,2,2,2,Furnished,Resale,1000,4440000
Bachupally,Apartment,2,2,4,Furnished,Resale,1100,4830000
Bachupally,Builder Floor Apartment,2,2,2,Semi-Furnished,Resale,1050,3500000
Bachupally,Builder Floor Apartment,2,2,4,Furnished,Resale,1100,5000000
Bachupally,Builder Floor Apartment,2,2,3,Unfurnished,Resale,1270,6800000
Bachupally,Apartment,2,2,3,Unfurnished,Resale,1150,4300000
Bachupally,Builder Floor Apartment,2,2,3,Semi-Furnished,Resale,1115,4683000
Bachupally,Apartment,2,2,1,Semi-Furnished,Resale,1150,4700000
Bachupally,Apartment,2,2,2,Unfurnished,Resale,1030,4680000
Bachupally,Apartment,2,2,1,Semi-Furnished,Resale,950,4000000
Bachupally,Builder Floor Apartment,2,2,4,Unfurnished,Resale,1265,4900000
Bachupally,Apartment,2,2,3,Semi-Furnished,Resale,1175,5000000
